MTH_YR,CHO_DESC,RHO_DESC,LHO_DESC_CHO,FAMILY_UNITS,MED_CARDS,DVC_CARDS
202007,CHO Area 1,Dublin / North Leinster Region,Cavan / Monaghan,43427,50455,15392
202007,CHO Area 1,Western Region,Donegal,59129,76459,16405
202007,CHO Area 1,Western Region,Sligo / Leitrim / West Cavan,33668,37685,10643
202007,CHO Area 2,Western Region,Galway,80526,85499,29901
202007,CHO Area 2,Western Region,Mayo,46275,54061,13836
202007,CHO Area 2,Western Region,Roscommon,21301,25466,6337
202007,CHO Area 3,Western Region,Clare,36009,40353,11856
202007,CHO Area 3,Western Region,North Tipp./East Limerick,24375,26615,8289
202007,CHO Area 3,Western Region,Limerick,65064,71159,22057
202007,CHO Area 4,Southern Region,South Lee,59201,54650,25030
202007,CHO Area 4,Southern Region,North Lee,63686,68751,21759
202007,CHO Area 4,Southern Region,West Cork,18200,18544,6562
202007,CHO Area 4,Southern Region,Kerry,49393,54040,16238
202007,CHO Area 4,Southern Region,North Cork,29395,30027,11031
202007,CHO Area 5,Southern Region,Carlow/Kilkenny,47445,53269,16569
202007,CHO Area 5,Southern Region,Waterford,44162,49948,13566
202007,CHO Area 5,Southern Region,South Tipperary,32238,36786,9490
202007,CHO Area 5,Southern Region,Wexford,52209,61791,16404
202007,CHO Area 6,Dublin / Mid Leinster Region,Dun Laoghaire,29681,18725,16827
202007,CHO Area 6,Dublin / Mid Leinster Region,Dublin South East,36728,21377,22876
202007,CHO Area 6,Dublin / Mid Leinster Region,Wicklow,39967,39798,16191
202007,CHO Area 7,Dublin / Mid Leinster Region,Dublin South City,35277,32769,13526
202007,CHO Area 7,Dublin / Mid Leinster Region,Dublin South West,49807,56930,16112
202007,CHO Area 7,Dublin / Mid Leinster Region,Dublin West,43237,50968,14587
202007,CHO Area 7,Dublin / Mid Leinster Region,Kildare / West Wicklow,61501,64267,25541
202007,CHO Area 8,Dublin / Mid Leinster Region,Laois / Offaly,49615,60994,15568
202007,CHO Area 8,Dublin / Mid Leinster Region,Longford / Westmeath,45576,52327,16041
202007,CHO Area 8,Dublin / North Leinster Region,Louth,44385,52066,14909
202007,CHO Area 8,Dublin / North Leinster Region,Meath,50776,55543,20354
202007,CHO Area 9,Dublin / North Leinster Region,Dublin North West,50186,53677,19027
202007,CHO Area 9,Dublin / North Leinster Region,Dublin North Central,47378,50961,15082
202007,CHO Area 9,Dublin / North Leinster Region,Dublin North,72154,67549,31561
